Id,Label,Degree,InDegree,OutDegree,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,PageRank,Community,KCore,Size
231425,User_231425,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,0,1,5.251256281407035
82945,User_82945,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,1,1,5.50251256281407
252417,User_252417,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,2,1,5.251256281407035
110598,User_110598,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,0,1,5.251256281407035
49159,User_49159,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,3,1,5.251256281407035
8,User_8,3,3,0,0.01507537688442211,0.0,0.01507537688442211,0.006670500778963892,4,2,5.7537688442211055
2567,User_2567,3,3,0,0.01507537688442211,0.0,0.01507537688442211,0.006449010348570339,5,2,5.7537688442211055
519,User_519,3,3,0,0.01507537688442211,0.0,0.01507537688442211,0.006670500778963892,4,2,5.7537688442211055
263179,User_263179,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,6,1,5.251256281407035
65544,User_65544,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,7,1,5.251256281407035
36875,User_36875,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,8,1,5.251256281407035
1553,User_1553,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,9,1,5.251256281407035
7698,User_7698,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,10,1,5.251256281407035
75290,User_75290,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,11,1,5.251256281407035
137242,User_137242,2,1,1,0.010050251256281407,0.0,0.005025125628140704,0.020592406426679276,12,1,5.50251256281407
251419,User_251419,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,52,1,5.251256281407035
58912,User_58912,3,0,3,0.01507537688442211,0.0,0.0,0.003126653892667049,0,2,5.7537688442211055
60961,User_60961,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,14,1,5.251256281407035
1062,User_1062,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,15,1,5.251256281407035
14376,User_14376,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,16,1,5.251256281407035
59945,User_59945,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,17,1,5.251256281407035
33833,User_33833,7,2,5,0.035175879396984924,0.0002525252525252525,0.011306532663316583,0.010956505666223065,11,3,6.758793969849246
50733,User_50733,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.004012615614241259,0,1,5.251256281407035
43055,User_43055,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,18,1,5.251256281407035
138800,User_138800,4,0,4,0.020100502512562814,0.0,0.0,0.003126653892667049,19,1,6.005025125628141
299063,User_299063,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,4,2,5.50251256281407
260155,User_260155,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,20,1,5.251256281407035
59,User_59,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,2,1,5.251256281407035
248893,User_248893,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,21,1,5.251256281407035
233022,User_233022,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,11,1,5.251256281407035
180798,User_180798,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,22,1,5.251256281407035
66111,User_66111,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.004012615614241259,4,1,5.251256281407035
16460,User_16460,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.004455596475028365,0,1,5.251256281407035
443469,User_443469,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,23,1,5.251256281407035
132690,User_132690,2,2,0,0.010050251256281407,0.0,0.026800670016750416,0.011539314761431524,11,1,5.50251256281407
50258,User_50258,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,11,2,5.50251256281407
355926,User_355926,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,9,1,5.251256281407035
88,User_88,19,19,0,0.09547738693467336,0.0,0.09900855629498846,0.04230681667362635,0,3,9.773869346733669
162399,User_162399,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,1,1,5.251256281407035
334946,User_334946,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,15,1,5.251256281407035
329829,User_329829,3,0,3,0.01507537688442211,0.0,0.0,0.003126653892667049,0,2,5.7537688442211055
10855,User_10855,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,24,1,5.251256281407035
5226,User_5226,6,6,0,0.03015075376884422,0.0,0.03015075376884422,0.009992857234867184,19,2,6.507537688442211
47217,User_47217,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,26,1,5.251256281407035
14454,User_14454,3,3,0,0.01507537688442211,0.0,0.016080402010050253,0.009129159910677195,52,2,5.7537688442211055
310906,User_310906,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,27,1,5.251256281407035
2185,User_2185,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,28,1,5.251256281407035
69779,User_69779,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,29,1,5.251256281407035
401556,User_401556,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,30,1,5.251256281407035
439445,User_439445,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,31,1,5.251256281407035
59542,User_59542,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,32,1,5.251256281407035
283287,User_283287,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,6,1,5.251256281407035
408216,User_408216,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,29,1,5.251256281407035
148121,User_148121,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,33,1,5.251256281407035
34963,User_34963,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,34,1,5.251256281407035
148125,User_148125,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,33,1,5.251256281407035
12961,User_12961,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,11,2,5.50251256281407
5795,User_5795,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,35,1,5.251256281407035
677,User_677,8,6,2,0.04020100502512563,0.00010101010101010101,0.03350083752093802,0.01353922370314267,11,3,7.010050251256281
390311,User_390311,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,52,1,5.251256281407035
157354,User_157354,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,36,1,5.251256281407035
171,User_171,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,37,1,5.251256281407035
341679,User_341679,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,38,1,5.251256281407035
34479,User_34479,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,5,2,5.50251256281407
388272,User_388272,3,0,3,0.01507537688442211,0.0,0.0,0.003126653892667049,19,2,5.7537688442211055
9906,User_9906,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,39,1,5.251256281407035
68278,User_68278,3,3,0,0.01507537688442211,0.0,0.01507537688442211,0.011100309386834947,38,1,5.7537688442211055
154813,User_154813,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,10,1,5.251256281407035
131776,User_131776,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,4,2,5.50251256281407
57543,User_57543,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,40,1,5.251256281407035
393932,User_393932,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,11,1,5.251256281407035
118476,User_118476,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,0,1,5.251256281407035
206,User_206,2,2,0,0.010050251256281407,0.0,0.010050251256281407,0.006449010348570339,19,1,5.50251256281407
205,User_205,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.004455596475028365,19,1,5.251256281407035
19153,User_19153,2,2,0,0.010050251256281407,0.0,0.010050251256281407,0.0057845390573896815,41,1,5.50251256281407
14549,User_14549,2,2,0,0.010050251256281407,0.0,0.010050251256281407,0.0071134816397509975,41,1,5.50251256281407
284374,User_284374,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,42,1,5.251256281407035
406231,User_406231,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,17,1,5.251256281407035
126681,User_126681,3,0,3,0.01507537688442211,0.0,0.0,0.003126653892667049,11,3,5.7537688442211055
255712,User_255712,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,0,1,5.251256281407035
225505,User_225505,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,11,1,5.251256281407035
241892,User_241892,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,4,2,5.50251256281407
71909,User_71909,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,18,1,5.251256281407035
66278,User_66278,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.004455596475028365,4,1,5.251256281407035
14564,User_14564,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,44,1,5.251256281407035
203496,User_203496,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,41,1,5.50251256281407
66793,User_66793,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,45,1,5.251256281407035
132850,User_132850,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,11,1,5.251256281407035
249589,User_249589,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,46,1,5.251256281407035
259319,User_259319,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,16,1,5.251256281407035
248,User_248,2,2,0,0.010050251256281407,0.0,0.010050251256281407,0.006449010348570339,19,1,5.50251256281407
22779,User_22779,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,47,1,5.251256281407035
420607,User_420607,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,40,1,5.251256281407035
77058,User_77058,3,0,3,0.01507537688442211,0.0,0.0,0.003126653892667049,0,2,5.7537688442211055
62217,User_62217,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,48,1,5.251256281407035
167177,User_167177,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,49,1,5.251256281407035
1292,User_1292,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.004012615614241259,0,1,5.251256281407035
73485,User_73485,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,50,1,5.251256281407035
128781,User_128781,2,1,1,0.010050251256281407,0.0,0.005025125628140704,0.004012615614241259,0,2,5.50251256281407
329485,User_329485,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,38,1,5.251256281407035
105232,User_105232,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,51,1,5.251256281407035
32527,User_32527,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,28,1,5.251256281407035
341261,User_341261,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,3,1,5.251256281407035
7436,User_7436,3,3,0,0.01507537688442211,0.0,0.01507537688442211,0.005563048626996129,5,2,5.7537688442211055
258838,User_258838,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,0,1,5.251256281407035
2839,User_2839,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,53,1,5.251256281407035
113944,User_113944,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,36,1,5.251256281407035
115999,User_115999,3,0,3,0.01507537688442211,0.0,0.0,0.003126653892667049,5,2,5.7537688442211055
265505,User_265505,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,54,1,5.251256281407035
6948,User_6948,3,3,0,0.01507537688442211,0.0,0.01507537688442211,0.007999443361325208,4,1,5.7537688442211055
184101,User_184101,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,50,1,5.251256281407035
269608,User_269608,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,11,1,5.251256281407035
69417,User_69417,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,55,1,5.251256281407035
2347,User_2347,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,30,1,5.251256281407035
14650,User_14650,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,20,1,5.251256281407035
113979,User_113979,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,52,1,5.251256281407035
131387,User_131387,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,11,1,5.251256281407035
207165,User_207165,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,56,1,5.251256281407035
3393,User_3393,3,3,0,0.01507537688442211,0.0,0.01507537688442211,0.009328385943686525,52,1,5.7537688442211055
235841,User_235841,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,35,1,5.251256281407035
78658,User_78658,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,22,1,5.251256281407035
41285,User_41285,3,0,3,0.01507537688442211,0.0,0.0,0.003126653892667049,11,2,5.7537688442211055
270663,User_270663,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,19,1,5.251256281407035
181064,User_181064,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,47,1,5.251256281407035
13641,User_13641,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.003791125183847707,19,1,5.251256281407035
22349,User_22349,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,31,1,5.251256281407035
309074,User_309074,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,57,1,5.251256281407035
237395,User_237395,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,42,1,5.251256281407035
81236,User_81236,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,27,1,5.251256281407035
61781,User_61781,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0036582309256115754,11,1,5.251256281407035
38738,User_38738,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,45,1,5.251256281407035
57688,User_57688,3,0,3,0.01507537688442211,0.0,0.0,0.003126653892667049,4,1,5.7537688442211055
64345,User_64345,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,0,1,5.251256281407035
857,User_857,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,26,1,5.251256281407035
349,User_349,7,7,0,0.035175879396984924,0.0,0.03589375448671931,0.012608733186800015,11,3,6.758793969849246
124254,User_124254,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,58,1,5.251256281407035
352,User_352,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,23,1,5.251256281407035
226146,User_226146,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,11,1,5.251256281407035
222053,User_222053,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,8,1,5.251256281407035
40298,User_40298,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,57,1,5.251256281407035
33642,User_33642,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,5,2,5.50251256281407
91500,User_91500,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.004455596475028365,0,1,5.251256281407035
4974,User_4974,4,0,4,0.020100502512562814,0.0,0.0,0.003126653892667049,5,2,6.005025125628141
106351,User_106351,3,0,3,0.01507537688442211,0.0,0.0,0.003126653892667049,52,2,5.7537688442211055
234866,User_234866,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,14,1,5.251256281407035
211314,User_211314,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,5,1,5.251256281407035
7540,User_7540,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.004455596475028365,41,1,5.251256281407035
330615,User_330615,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,0,1,5.50251256281407
394113,User_394113,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,11,2,5.50251256281407
307074,User_307074,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,46,1,5.251256281407035
41863,User_41863,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,39,1,5.251256281407035
60810,User_60810,2,1,1,0.010050251256281407,5.1015202530354045e-05,0.005025125628140704,0.004455596475028365,5,2,5.50251256281407
267152,User_267152,2,1,1,0.010050251256281407,0.0,0.005025125628140704,0.0057845390573896815,11,1,5.50251256281407
387476,User_387476,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,41,1,5.50251256281407
270233,User_270233,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,55,1,5.251256281407035
117145,User_117145,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,5,1,5.251256281407035
4509,User_4509,5,0,5,0.02512562814070352,0.0,0.0,0.003126653892667049,11,3,6.256281407035176
172959,User_172959,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,25,1,5.251256281407035
411553,User_411553,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,53,1,5.251256281407035
273314,User_273314,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,19,1,5.50251256281407
57763,User_57763,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,25,1,5.251256281407035
258985,User_258985,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,24,1,5.251256281407035
48556,User_48556,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,19,2,5.50251256281407
443822,User_443822,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,19,1,5.251256281407035
35248,User_35248,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,56,1,5.251256281407035
71601,User_71601,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,43,1,5.251256281407035
112050,User_112050,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,54,1,5.251256281407035
20919,User_20919,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,34,1,5.251256281407035
34233,User_34233,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,41,1,5.251256281407035
11714,User_11714,2,2,0,0.010050251256281407,0.0,0.010050251256281407,0.006670500778963892,5,1,5.50251256281407
162755,User_162755,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,5,1,5.251256281407035
1988,User_1988,11,11,0,0.05527638190954774,0.0,0.05653266331658291,0.02248751399393878,11,3,7.763819095477388
37319,User_37319,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,0,1,5.50251256281407
95688,User_95688,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,52,1,5.251256281407035
362440,User_362440,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,43,1,5.251256281407035
48073,User_48073,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,21,1,5.251256281407035
7627,User_7627,2,2,0,0.010050251256281407,0.0,0.010050251256281407,0.008442424222112313,58,1,5.50251256281407
86988,User_86988,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,7,1,5.251256281407035
429519,User_429519,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,38,1,5.251256281407035
298960,User_298960,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,51,1,5.251256281407035
979,User_979,2,2,0,0.010050251256281407,0.0,0.010050251256281407,0.008442424222112313,22,1,5.50251256281407
363476,User_363476,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,58,1,5.251256281407035
353237,User_353237,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,48,1,5.251256281407035
468,User_468,2,1,1,0.010050251256281407,0.0,0.005025125628140704,0.004012615614241259,11,2,5.50251256281407
9175,User_9175,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,49,1,5.251256281407035
16344,User_16344,2,2,0,0.010050251256281407,0.0,0.010050251256281407,0.0071134816397509975,1,1,5.50251256281407
3549,User_3549,3,3,0,0.01507537688442211,0.0,0.01507537688442211,0.00897400125505684,11,1,5.7537688442211055
42974,User_42974,2,1,1,0.010050251256281407,5.0505050505050505e-05,0.005025125628140704,0.0057845390573896815,11,1,5.50251256281407
2014,User_2014,3,2,1,0.01507537688442211,0.0,0.011306532663316583,0.007647347545984433,11,1,5.7537688442211055
64997,User_64997,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.004455596475028365,1,1,5.251256281407035
326123,User_326123,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,13,1,5.251256281407035
326124,User_326124,1,1,0,0.005025125628140704,0.0,0.005025125628140704,0.0057845390573896815,13,1,5.251256281407035
428012,User_428012,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,4,1,5.251256281407035
53228,User_53228,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,44,1,5.251256281407035
397808,User_397808,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,37,1,5.251256281407035
103921,User_103921,2,1,1,0.010050251256281407,0.0,0.005025125628140704,0.020592406426679276,12,1,5.50251256281407
3571,User_3571,5,5,0,0.02512562814070352,0.0,0.0258435032304379,0.0137804589489418,5,2,6.256281407035176
232947,User_232947,1,0,1,0.005025125628140704,0.0,0.0,0.003126653892667049,32,1,5.251256281407035
28664,User_28664,3,1,2,0.01507537688442211,0.0,0.005025125628140704,0.0057845390573896815,52,2,5.7537688442211055
423419,User_423419,2,0,2,0.010050251256281407,0.0,0.0,0.003126653892667049,4,1,5.50251256281407
